column0,column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12
"Cabinet today should speak up for a moderate Malaysia for a change, suspend the ban on G25 book and form a high-level committee to hold public hearings whether the book should be banned",20170728,2 Comments,"{Bigjoe}{28 July 2017}{8:52 am} Nah, I want to talk about whether Najib agrees with MP fo Setiu, Mohamad Zulkifly Jusoh that the denying sex to husband is a form of torture. More importantly does Rosmah deny any sex to Najib and, as Marina Mahathir argue against, the body of wife does not belong to the husband ?  How do they explain Altantuya, Ziana Zain, and god knows how many more?",{good coolie}{29 July 2017}{10:48 pm} Didn’t Mahatir play a significant role in the transformation of Malaysia into a religious-extremist state? Didn’t Anwar the Great do the same? We need that old trouble-making doctor to get rid of even worse pieces of nonsense than the two of them. Hobson’s Choice?,,,,,,,,
Three suggestions for Malaysians to believe that RMP the best police force in ASEAN,20170727,3 Comments,{SuperStringhg}{27 July 2017}{2:54 pm} I was shocked to read “The Royal Malaysian Police is acknowledged as the best in Asean”. Anyone please indicate wht website that has this report. Just cannot believe what I read!,"{SuperStringhg}{28 July 2017}{12:10 am} After some research, I think Zahid may have read it upside down. There is a website called Numbeo that provide listing of crimes rate among others. In there I did find KL Malaysia as listed at Number 1 under the South East Asia Crime Index chart. Unfortunately Number 1 here mean Most crimes or least! Petaling Jaya is Number 2, Johore Bahru is Number 5!. Website here https://www.numbeo.com/crime/region_rankings_current.jsp?region=035  So is Home Minister and Deputy Prime Minister Ahmad Zahid Hamidi refer to this chart?","{Bigjoe}{28 July 2017}{4:21 am} The bottom.line is Zahid Hamidi is AN EVEN BIGGER LIAR, CHEATER, and HYPOCRITE than Najib. 1MDB, ECRL, broken AG and courts, NSC, Hudud are minor league abuses if Zahid Hamidi comes into power. ",,,,,,,
Setting up integrity unit in GLCs and government business meaningless “PR” exercises unless Prime Minister and entire Cabinet have the political will to set example of zero tolerance for corruption starting with a RCI into 1MDB scandal,20170726,1 Comment,{good coolie}{26 July 2017}{4:20 pm} The Rakyat is being taken for another merry-go-round ride. Soon the I.U.  will be in ICU or drowned in some other alphabet soup.,,,,,,,,,
Today calls for celebration: I have become the most powerful person in Malaysia but how come I do not know about it?,20170725,2 Comments,"{Bigjoe}{26 July 2017}{4:40 am} The speech by Najib at Invest Malaysia proves he is indeed an idiot. In an event where the participants vote with their money, he politicised it, was campaigning for electoral votes which are few and SCARES away the money. ","{SuperStringhg}{26 July 2017}{1:24 pm} Najib is talking to a group of investors, not kampong folks. Investors have good knowledge of things around their interests. Having heard Najib’s speech, probable questions are:
1. His AG Apandi found no wrong in 1MDB but not Najib admitted “lapses”, so who is lying?
2. Najib mentioned unprecedented investigations but in the end, who got charge – NONE! That showed investigations were for show (in fact, all investigations were shut down once it get to hot)
3. As Najib is the sole signatory of any investments, and he admitted lapses, he must review what are those lapses – are the lapses as bad as US DOJ report?
4. Investors will like to know whether Najib taken any bribes over the France Scorpene scandal because this will affect their investment decision. They need proof not getting his best friend AG Apandi to clear him of another wrongdoing.
5. Investors also like to know why Najib did not sue the other foreign agencies on the many scandals that Malaysia is alleged to commit to clear the good name of Malaysia. As it stands now, Malaysia is crowned as World Kleptocratic Country. This definitely will not be good for foreign investments.
If Najib can answer all these with facts and figures to show his Government has been slandered, investors will be more than happy to invest in this country rich in resources!",,,,,,,,
MCA can be reduced from a 7/11 party into a ¾ (tiga suku) party in the 14GE if it continues to allow UMNO President to play footsie with Hadi on the RUU355 bill,20170725,1 Comment,"{Bigjoe}{25 July 2017}{10:02 am} MCA is irrelevant even if there was no RUU 355. The issue is Sarawak and Sabah BN parties still relevant with RUU 355? The simple fact is a Vote for BN in Sarawak and Sabah is a vote for RUU355, Hadi’s PAS and the end of the Sarawak and Sabah way of life.",,,,,,,,,
Najib’s ‘Global Movement of Moderates’ is a failure,20170724,1 Comment,{Bigjoe}{25 July 2017}{6:19 am} Najib exhorting Haj pilgrim “to pray Malaysia remain peaceful”. It’s time to make it clear to Najib he.must guarantee peaceful transition of govts if opposition win starting with NOT cheating on the election.,,,,,,,,,
"Pribumi Bersatu is more Malaysian than UMNO, as former wants Malays to unite and work with other citizens as Malaysians, while the latter wants Malaysians to remain Malays, Chinese and Indians and is even trying to polarize the next elections as a battle between the Malays and Chinese",20170724,2 Comments,"{SuperStringhg}{25 July 2017}{1:09 pm} Mahathir has set the tone for PH – honest and transparent – in policy and management. The BN days of twist, turn, hide and steal will be over iF opposition win in GE14.","{Bigjoe}{25 July 2017}{2:40 pm} Najib claims the opposition is blowing 1MDB out of proportion. I say the opposition is UNDER blowing it.  The opposition keep talking about how much and hedonism and indulgence but they fail to put across how the abuse of power, bad precedence and institutional.destruction can and how likely it will destroy everything.",,,,,,,,
"Each of the 100,000 Felda settlers would be allocated RM70,000 if the US$1.7 billion 1MDB-linked assets which US DOJ wanted to forfeit is allocated among the Felda settlers",20170723,2 Comments,"{Bigjoe}{24 July 2017}{2:09 am} USD$1.7billion is recoverable only, what was lost is 5X-8X, hundreds of thousands RM per Felda settlers targeted.","{SuperStringhg}{24 July 2017}{11:17 am} When a car is broken, we try to fix it, fix it and fix it until there will be a point that is beyond economic repair. UMNO/BN is in this position – Beyond Economic Repair and should be kept in Condemn Store for disposal!",,,,,,,,
"Free advice to Najib and his propagandists  – be consistent and credible or all their propaganda campaign of lies, fake news and false information  will come to nought like MCA complaining about losing support of 85 per cent of Chinese voters in 13th General Election",20170723,4 Comments,"{Bigjoe}{23 July 2017}{11:09 am} Najib lying and inconsistent is something exploitable and it’s better he carry on.  The problem is when Hadi Awang does it, no one points it out either they do not notice or dare not say even if they do.",{SuperStringhg}{23 July 2017}{11:54 am} Must be careful with this Shahrizat Abdul Jalil woman because she can run down anyone with cows hide in high end condo!!!,"{FreeAsian}{23 July 2017}{2:51 pm} Shahrizat, the cow minister, has lost all credibility with her cows n condo act. Now she’s just spitting in the wind and it will all come back onto her own face.","{Bigjoe}{23 July 2017}{3:58 pm} Talk about inconsistency, Najib nows both threatens and bribe Felda settlers with money, basically threating the Felda settlers with contempt. “cash is king” being the rule of law.  ",,,,,,
Najib in panic mode,20170721,2 Comments,{Bigjoe}{23 July 2017}{4:40 am} You have to hand it to UMNO for the blind loyalty they give to Najib. Seriously even Kim Jung In and Maduro does not compare. Mugabe is an amateur compared to Najib.,"{SuperStringhg}{23 July 2017}{12:08 pm} When your leader taking bribes, stealing money and selling the country assets, the followers still following him, what can you say about these followers…they must be also thieves otherwise no right minded loyal Malaysians will do that…sound logical?",,,,,,,,
Malaysia Airlines’ latest losses occurred during Najib’s time,20170721,2 Comments,{Bigjoe}{21 July 2017}{7:22 am} But the truth is Najib selective memory of blaming is not confined to him and UMNO.  H,"{good coolie}{22 July 2017}{8:46 pm} So, Malaysian Airlines is making a loss! Come on, who expected otherwise?",,,,,,,,
"Sad reflection on Najib not so much on Sarifuddin that the propaganda offensive against Mahathir and Pakatan Harapan leaders have reached a new low, scraping the bottom of the barrel, in personal attacks",20170720,3 Comments,{Bigjoe}{20 July 2017}{4:20 pm} Invoke survey says PH and UMNO/BN has the same level of Malay support while Hadi’s PAS has 14% of support down from about 20% a couple of months ago.,"{good coolie}{20 July 2017}{6:37 pm} Finally we’re paying homage to that wonderful animal, the dog.","{undertaker888}{20 July 2017}{8:36 pm} “If I give my son RM10, it is a normal transaction between father and son. But if my son buys drugs with the money and he is caught, then you cannot blame the father.”",,,,,,,
Questions for Najib on the indictment of two French executives in connection with graft over Scorpene submarine sale to Malaysia fifteen years ago in  2002,20170719,2 Comments,"{good coolie}{20 July 2017}{6:44 pm} Why isn’t the gomen setting up a Royal Commission of Inquiry into the Wan Emdibi RM50 billion fiasco? Surely your question is a rhetorical one. “All is in your hands, Ah Mo1.” (Ellam Unggal Kayillay).","{good coolie}{25 July 2017}{7:25 pm} French fellows corrupt fellows? Alamak, I am shocked. I really don’t believe this!",,,,,,,,
"If Apandi is so God-fearing, he should not be Attorney-General of a global kleptocracy",20170719,3 Comments,{Bigjoe}{19 July 2017}{10:43 am} Apandi Ali is a criminal. Period. A Malaysian judge has to be forced to rule on this.,"{Sallang}{19 July 2017}{1:49 pm} Do Malaysia have an impartial high court judge, like the legendary, black face Justice Pao?",{Bigjoe}{19 July 2017}{5:18 pm} So apparently a third of our student in university is open to be corrupted and people starting not to care about 1MDB.,,,,,,,
Mahathir effect threatens Umno vote bank,20170718,1 Comment,"{Bigjoe}{18 July 2017}{6:52 pm} PH must defeat BOTH Najib’s UMNO and Hadi’s PAS. While data showed PAS vote has been declining, PH cannot take it for granted. Drawing UMNO vote without beating back Hadi’s PAS plays into Hadi’s PAS hands.",,,,,,,,,
Will Parliament be dissolved after Najib presents his 2018 budget of goodies on Oct. 27?,20170718,1 Comment,{Bigjoe}{19 July 2017}{5:56 am} Actually it’s clear Najib is trying to call election ASAP. His panic is showing. Boasting MRTwhen he has no chance with urban voters? Indian Muslims as bumis? It’s panic.  Najib do not have a plan. He is just pushing all buttons and hoping there will be a optimum time.,,,,,,,,,
Call for a common strategy by the 10 Cabinet Ministers and 57 MPs from Sabah and Sarawak in next week’s Parliament to ensure that the  first appointment of a Chief Justice from Sabah and Sarawak is not voided and by-passed,20170717,3 Comments,"{Bigjoe}{18 July 2017}{2:37 am} There is a bigger reason why Richard Malunjum has to be CJ which is Rule of Law. Mahathir is right, Najib is not the only criminal in 1MDB. The AG committed a crime – the judges all know it. Yet they ruled that the criminal AG has absolute right to decide prosecution.",{bumi-non-malay}{18 July 2017}{on} Better Make Pairin Kitingan or Baru Bian as Interim Prime Minister From Sabah Sarawak to show the people Harapan is OPEN MINDED!!…until the dust settles after GE 14…then Make malaysia great again…right now …its Hopeless!!,"{Bigjoe}{18 July 2017}{7:23 am} Fact of the matter is, a judge is supreme in his court. By now, given all the cases the AG has prosecuted or rather persecuted like Anwar’s case, the judges should have ruled the AG is a criminal and disqualified from prosecuting..",,,,,,,
"Window for Najib to hold 14GE this year closing as UMNO/BN leaders panic over serious challenge by Pakatan Harapan, after finalizing new structure and leadership line-up,  to topple Najib and UMNO/BN in Putrajaya",20170717,2 Comments,{Bigjoe}{17 July 2017}{11:23 am} Debate about Mahathir’s importance is not without merit. Not Mahathir and Bersatu have to garner more vote than Hadi’s PAS. That is essentially the only number that can make it work for PH..,"{Bigjoe}{18 July 2017}{7:56 am} I am actually wondering why Najib is smiling ear-to-ear with the MRT launch and his sycophants are all also excited. He has lost the urban votes for good, no project, no spending, not even high economic growth  can help win him seats in Klang Valley. So why are they so please with themselves?",,,,,,,,
UMNO/BN at sixes and sevens over Pakatan Harapan’s structure and leadership line-up last Thursday,20170716,2 Comments,"{Bigjoe}{16 July 2017}{5:58 pm} Now Najib is literally WHINING, Mahathir did not go back to 1988 to explain himself about Anwar. What is next? His father died early and he did not get enough fatherly love like denying him a swimming pool in their house?","{good coolie}{18 July 2017}{7:18 pm} Yes, or No? Did or did not Mahatir say those things about Anwar? Hey, tough old cock though I am, I feel shy to repeat what UMNO punya TV is reporting. Porn! Mahatir has painted himself into a corner, and is now trying to wriggle out of it in snake-like fashion.!",,,,,,,,
Call on BN Sabah and Sarawak Ministers and MPs to take a common and  united stand with Pakatan Harapan MPs for the appointment of Richard Malanjum as the new Chief Justice of Malaysia,20170716,1 Comment,"{Bigjoe}{16 July 2017}{10:54 am} Najib’s UMNO holds the people in contempt, purchasable with their own money, cheateable and easy to scare with their religion.",,,,,,,,,
Malaysian opposition to release Anwar ‘within a week’ if it takes power – Dr Mahathir,20170715,1 Comment,"{Bigjoe}{16 July 2017}{12:51 pm} Najib argue that voters should not vote for unstable party, namely Pakatan Harapan. Other than the premise is not proven, even if it’s true, his argument is not necessarily hold water. ",,,,,,,,,
Malaysia’s government harasses opponents as an election looms,20170715,1 Comment,"{Bigjoe}{16 July 2017}{5:36 am} As Najib gets going for election, he is getting more careless especially on his remarks.  ",,,,,,,,,
"Reminder to DAP leaders, members, branches and supporters to prepare for the worst in latest UMNO/BN ploy to destroy the DAP through the RoS",20170715,2 Comments,"{Bigjoe}{15 July 2017}{8:24 pm} Under Najib’s UMNO every institution is a political tool for them to mess with. Imagine when they combine with Hadi’s PAS, the mess with everyone with the excuse of God and religion","{Bigjoe}{16 July 2017}{10:09 am} Frankly speaking, its comes to the point, everytime Najib smiles or speak, he is insulting the voters, he is sneering and condescending of the voters. He looks down on the voter deeming them purchasable and cheateable.  The voters to him are lowly, beneath him.",,,,,,,,
Two things for Malaysian voters to prove at the 14th GE – that Malaysians reject kleptocracy and is a normal democratic country,20170715,1 Comment,"{Bigjoe}{15 July 2017}{3:43 pm} Actually it’s a lot simpler. Malaysian have to prove, while Najib & Co are trash, they are not.",,,,,,,,,
Extension of Raus as Chief Justice after August 3 not only unconstitutional but deny Richard Malanjum as the the first Chief Judge of Sabah and Sarawak to be appointed as Chief Justice of Malaysia,20170715,1 Comment,{Bigjoe}{15 July 2017}{3:01 pm} Did Najib did this just to deny Richard Malanjum the job whose judgement on key issues particularly with religion would have wrecked havoc with the Hadi’s PAS and their partners in UMNO???,,,,,,,,,
Two things for Malaysian voters to prove at the 14th GE – that Malaysians reject kleptocracy and Malaysia is a normal democratic country,20170715,1 Comment,"{Bigjoe}{15 July 2017}{3:56 pm} Najib & Co are incompetent, crooks, cheats and bully, i.e. trash. If they win, then the voters are just cheap trash.",,,,,,,,,
"Reply to Salleh – DAP neither sidelined nor do we dominate Pakatan Harapan, which is  coalition of political equals based on the operational principle of consensus, unlike Barisan Nasional  which is founded on UMNO hegemony",20170714,1 Comment,"{Bigjoe}{15 July 2017}{4:33 am} After countless slanderring PH with exaggeration of DAP influence, Salleh Keruak now complaining DAP not given enough, it exposes Keruak for the mercenary politician that he is.",,,,,,,,,
Shariah’s Winding Path Into Modernity,20170714,2 Comments,"{SuperStringhg}{14 July 2017}{1:34 pm} Millions of Muslim refugees stream to Western countries instead of Muslim countries. If Muslim prefer Shariah laws and everything Islam, logically they should be going to Saudi or Iran and many Muslim countries in the Middle East, Why France, Germany, Finland, UK, etc?","{good coolie}{14 July 2017}{6:04 pm} Jewish law required that adulterers should be stoned. Orthodox Jews (call them extremists) want their ancient law to be enforced in modern times. Luckily for humanity, the larger Israeli society will have nothing of that. The call for Hudud to be implemented among Muslims of our secular society falls to be similarly rejected, as Mr. Mustafa (our writer) seems to imply. ",,,,,,,,
Is there not a single one from the 36 Ministers who realized that establishing an RCI into Bank Negara forex earnings losses a quarter of a century ago without a RCI into 1MDB is the dumbest thing the Cabinet can do?,20170714,6 Comments,"{bruno}{14 July 2017}{6:24 am} When a party has been in power for the last six decades,it’s leaders often get ignorant.Especially Umno,now self annointed big brother of BN.Even it’s original almost equal power sharing partners,MCA and MIC have been relegated into apple polishers and custodians of house keeping.That being the case,what do the opposition expect from them?",{bruno}{14 July 2017}{6:29 am} We have Jho Low spending 250 million on a super yacht.Buying jewelry and paintings worth tens of millions and presenting them to celebrities.Smelling STD infected Paris Hilton’s you know where for a million a pop.Only all these can be spent with ill gotten money.No one in his sane mind would throw away their hard earn money like that.,"{bruno}{14 July 2017}{7:01 am} Well,if only Jho Low would have kept his ill gotten wealth under wraps,maybe we would not be talking about 1MDB today.His political masters forget to tell him not to flaunt his ill gotten loot,and gaining unwanted public attention leading a NY newspaper to investigate and write about this chubby super rich playboy.",{Bigjoe}{14 July 2017}{7:41 am} I have full confidence the Cabinet is CAPABLE AND WILL DO much much dumber things.,"{Bigjoe}{14 July 2017}{10:07 am} Another retort that opposition never took on is that Najib claimed that Mahathir will ask his successor to step down to. At 92, there are already significant doubt that Mahathir can even do this one much less another one after Najib. Furthermore, what if we want Mahathir to stop ONLY AFTER NAJIB? In other words, not only is Mahathir not likely to be able to do it another time, truth is we can stop Mahathir anytime we want and we do not want Mahathir to stop just this one time..","{SuperStringhg}{14 July 2017}{1:24 pm} This election depends on the righteous men and women of Malaysia. The whole fury and might of the UMNO/BN has been turned on YOU Now. Najib knows that he will have to break you or lose the election. If you can stand up to him, all Malaysia may be freed and the life of the Malaysians may move forward into a new nation that embraces justice and equality, promote freedom and share prosperity.
But if you fail, then Malaysia, including Sarawak and Sabah States, including all that you have known and cared for, will sink into the abyss of a new dark age made more sinister, and perhaps more protracted, by the lights of Perverted laws. Brace yourselves to your duties, and so bear yourselves, that if Malaysia last for a thousand years, men and women will still say, This was their finest election.",,,,
"Najib should take a leaf from Singapore Prime Minister Lee Hsien Loong, schedule a three-day parliamentary debate on 1MDB on 24-26th July   when Parliament reconvenes and waive parliamentary immunity to give full accounting of a scandal which has made Malaysia into a global kleptocracy",20170713,3 Comments,"{SuperStringhg}{13 July 2017}{2:33 pm} Fine, every man is innocent until proven quilty, so please, Jho Low, aka Loch Ness Monster come to  this suffering poor, kleptocratic Malaysia and present your facts and clear your name (also your buddy MO1 too). Please stop talking like UMNO politicians, saying not guilty but cannot prove with facts and hide behind Official Secrets Act, AG Apandi and IGP!","{Godfather}{13 July 2017}{6:27 pm} Bijan is going to appear before Parliament with his two hands aloft with peace signs, screaming “I am not a crook”. And the majority in Parliament will give him a standing ovation. Don’t believe me ?",{Bigjoe}{13 July 2017}{8:09 pm} I have a better idea. Najib and his family for three generation should personally guarantee payment of debt related to MRT and low fares if he think his “Kajang Move” is so much better than PKR’s??,,,,,,,
Why had Khairy been overshadowed not only by “old men” in Pakatan Harapan but also “old men” in UMNO?,20170713,1 Comment,{Bigjoe}{13 July 2017}{9:15 am} KJ sold himself has the future and different future of his party and for the Malays BUT NOW HE IS ACTUALLY DEFENDING NAJIB NOT SO SUBTLE INDIRECT ARGUMENT THAT ITS OK FOR HIM TO STEAL SO LONG AS 1MDB MAKES MONEY AND MAHATHIR LOSSES IS JUST AS BAD AS HIS.,,,,,,,,,
Malaysia’s 1MDB Fund Spawns Worldwide Probes: QuickTake Q&A,20170712,2 Comments,"{Bigjoe}{13 July 2017}{8:10 am} Step a little back and if you see statements issued by Najib himself, NAJIB IS ARGUING INDIRECTLY THAT HE HAS A RIGHT TO STEAL FROM 1MDB IF 1MDB MAKES MONEY AND THAT MAHATHIR LOST MONEY JUST AS BIG.","{Godfather}{13 July 2017}{9:18 am} All these foreign governments, these foreign publications, are out to overthrow a democratically elected government. No money has been lost on 1MDB. All our investigative agencies say so. We even have money to send people on their haj pilgrimage. Don’t believe me ?",,,,,,,,
"Malaysia’s 1MDB a `Victim’ of Jho Low, Singapore Prosecutors Say",20170712,1 Comment,"{Godfather}{13 July 2017}{9:25 am} Still no response from PMO. What is APCO going to write now ? Is MOF still going to pay IPIC US$1 billion at the end of July as part settlement ? Liar liar, pants on fire.",,,,,,,,,
Singapore Banker Admits Money Laundering in 1MDB-Linked Case,20170712,2 Comments,{Godfather}{12 July 2017}{5:33 pm} I am waiting for the usual nonsensical responses from UMNO. “A foreign government trying to topple a democratically-elected government.” “No explicit mention of 1MDB.”  “No funds missing from 1MDB so they must be referring to a different company.”,{ezraanne ezra}{12 July 2017}{6:20 pm} When you have been brainwashed to idolise a race and a religion apart from God..nothing will wake the UMNO lapdogs until it’s too late when the bomb is ultimately dropped on their heads..,,,,,,,,
"The RM117 million 22-carat rare pink diamond necklace stolen from 1MDB funds by Jho Low and given to “wife of MO1” would be able to immediately sponsor over 11,000 haj pilgrims from Malaysia",20170712,5 Comments,{Godfather}{12 July 2017}{1:38 pm} Have you posed this question to Rahman Dahlan?,"{Godfather}{12 July 2017}{1:51 pm} On second thoughts, you should pose this to Hadi and have him make halal 11,000 Haj trips.",{ezraanne ezra}{12 July 2017}{4:06 pm} The UMNO BN govt manipulates every institution in the country for its dirty political purpose and that includes the Tabung Haji where the poor malays keep their money to go to Mecca.  UMNO BN makes sure these poor malays remain poor so UMNO could continue using and tossing them around.,"{ezraanne ezra}{12 July 2017}{4:36 pm} When poverty rules the malay and muslim of this country that is how UMNO stays in power.  By investing in the young imams, celebrity imams, village chiefs, tahfiz madrasahs, UMNO is making sure more village parrots of UMNO will be born to continue Najib and UMNO’s twisted legacy.","{ezraanne ezra}{12 July 2017}{4:53 pm} There is no necessity to pose questions to Rahman Dahlan or Hadi Awang.  These two are village idiots who will only cause more confusion among the people they are conning.  They can con the people from their villages, they can lie some times; but they cannot con everyone in this country or lie and get away with it all the time.",,,,,
"If there is a secret ballot among the hundred-odd judges in the three tiers of judiciary, the overwhelming majority will uphold the constitution and support the position that it is unconstitutional to extend the tenures of Chief Justice and Court of Appeal President",20170712,2 Comments,"{Bigjoe}{12 July 2017}{8:06 am} To UMNO, the Constitution is a piece of toilet paper",{Godfather}{12 July 2017}{1:55 pm} Constitutionality be damned. The alternative is jail for all the crooks.,,,,,,,,
Khairy should ask Najib at Cabinet tomorrow to appoint another Minister to be responsible for TN 50 if Khairy does not have the courage to get  the Najib administration to give proper accountability on international 1MDB money-laundering scandal,20170711,2 Comments,{Bigjoe}{11 July 2017}{3:39 pm} KJ is now behaving too closely like Najib. He excused Najib for  BNM Forex losses using Sidek report as a cover when Najib is the biggest cover up leader Malaysia has ever known..Is Najib going to blame Mahathir for his own cover up for 1MDB too? Is KJ suggesting that he and the other Cabinet Ministers are also not guilty of covering up 1MDB?,"{Godfather}{11 July 2017}{5:53 pm} Appoint ANOTHER minister ? Are you on drugs or something ? Everyone in the cabinet is saddled with dedak, and is totally devoid of brainpower.",,,,,,,,
Was  Shafee  involved in  former Chief Justice Arifin’s advice for the unconstitutional  appointment of Raus and Zulkefli as “additional’” judges after the duo’s compulsory retirement to unconstitutionally extend their tenures as the two top judges in the land,20170711,4 Comments,{Bigjoe}{11 July 2017}{8:10 am} Again the question really is IS THERE ANY INSTITUTION THAT IS NOT A JOKE UNDER NAJIB’S UMNO?,{Godfather}{11 July 2017}{9:35 am} And there are still people out there who think that such an act proves that Bijan has nothing to hide ?,"{Bigjoe}{11 July 2017}{11:06 am} Whether or not Shafee was involved, the ordinary person is puzzle how is it this term of “additional judges” suddenly makes it excusable not to follow the Constitution?",{Bigjoe}{11 July 2017}{6:38 pm} The big question remains why do this?  Is this Najib preparation post GE 14 for example if he has to step down from UMNO own pressure or to fight if challenge from within his party for bad result?,,,,,,
