column0,column1,column2,column3,column4,column5,column6,column7,column8,column9
Mahathir effect threatens Umno vote bank,07/18/17,1 Comment,"{Bigjoe}{18 July 2017}{6:52 pm} PH must defeat BOTH Najib’s UMNO and Hadi’s PAS. While data showed PAS vote has been declining, PH cannot take it for granted. Drawing UMNO vote without beating back Hadi’s PAS plays into Hadi’s PAS hands.",,,,,,
Will Parliament be dissolved after Najib presents his 2018 budget of goodies on Oct. 27?,07/18/17,1 Comment,{Bigjoe}{19 July 2017}{5:56 am} Actually it’s clear Najib is trying to call election ASAP. His panic is showing. Boasting MRTwhen he has no chance with urban voters? Indian Muslims as bumis? It’s panic.  Najib do not have a plan. He is just pushing all buttons and hoping there will be a optimum time.,,,,,,
Call for a common strategy by the 10 Cabinet Ministers and 57 MPs from Sabah and Sarawak in next week’s Parliament to ensure that the  first appointment of a Chief Justice from Sabah and Sarawak is not voided and by-passed,07/17/17,2 Comments,"{Bigjoe}{18 July 2017}{2:37 am} There is a bigger reason why Richard Malunjum has to be CJ which is Rule of Law. Mahathir is right, Najib is not the only criminal in 1MDB. The AG committed a crime – the judges all know it. Yet they ruled that the criminal AG has absolute right to decide prosecution.","{Bigjoe}{18 July 2017}{7:23 am} Fact of the matter is, a judge is supreme in his court. By now, given all the cases the AG has prosecuted or rather persecuted like Anwar’s case, the judges should have ruled the AG is a criminal and disqualified from prosecuting..",,,,,
"Window for Najib to hold 14GE this year closing as UMNO/BN leaders panic over serious challenge by Pakatan Harapan, after finalizing new structure and leadership line-up,  to topple Najib and UMNO/BN in Putrajaya",07/17/17,2 Comments,{Bigjoe}{17 July 2017}{11:23 am} Debate about Mahathir’s importance is not without merit. Not Mahathir and Bersatu have to garner more vote than Hadi’s PAS. That is essentially the only number that can make it work for PH..,"{Bigjoe}{18 July 2017}{7:56 am} I am actually wondering why Najib is smiling ear-to-ear with the MRT launch and his sycophants are all also excited. He has lost the urban votes for good, no project, no spending, not even high economic growth  can help win him seats in Klang Valley. So why are they so please with themselves?",,,,,
UMNO/BN at sixes and sevens over Pakatan Harapan’s structure and leadership line-up last Thursday,07/16/17,2 Comments,"{Bigjoe}{16 July 2017}{5:58 pm} Now Najib is literally WHINING, Mahathir did not go back to 1988 to explain himself about Anwar. What is next? His father died early and he did not get enough fatherly love like denying him a swimming pool in their house?","{good coolie}{18 July 2017}{7:18 pm} Yes, or No? Did or did not Mahatir say those things about Anwar? Hey, tough old cock though I am, I feel shy to repeat what UMNO punya TV is reporting. Porn! Mahatir has painted himself into a corner, and is now trying to wriggle out of it in snake-like fashion.!",,,,,
Call on BN Sabah and Sarawak Ministers and MPs to take a common and  united stand with Pakatan Harapan MPs for the appointment of Richard Malanjum as the new Chief Justice of Malaysia,07/16/17,1 Comment,"{Bigjoe}{16 July 2017}{10:54 am} Najib’s UMNO holds the people in contempt, purchasable with their own money, cheateable and easy to scare with their religion.",,,,,,
Malaysian opposition to release Anwar ‘within a week’ if it takes power – Dr Mahathir,07/15/17,1 Comment,"{Bigjoe}{16 July 2017}{12:51 pm} Najib argue that voters should not vote for unstable party, namely Pakatan Harapan. Other than the premise is not proven, even if it’s true, his argument is not necessarily hold water. ",,,,,,
Malaysia’s government harasses opponents as an election looms,07/15/17,1 Comment,"{Bigjoe}{16 July 2017}{5:36 am} As Najib gets going for election, he is getting more careless especially on his remarks.  ",,,,,,
"Reminder to DAP leaders, members, branches and supporters to prepare for the worst in latest UMNO/BN ploy to destroy the DAP through the RoS",07/15/17,2 Comments,"{Bigjoe}{15 July 2017}{8:24 pm} Under Najib’s UMNO every institution is a political tool for them to mess with. Imagine when they combine with Hadi’s PAS, the mess with everyone with the excuse of God and religion","{Bigjoe}{16 July 2017}{10:09 am} Frankly speaking, its comes to the point, everytime Najib smiles or speak, he is insulting the voters, he is sneering and condescending of the voters. He looks down on the voter deeming them purchasable and cheateable.  The voters to him are lowly, beneath him.",,,,,
Two things for Malaysian voters to prove at the 14th GE – that Malaysians reject kleptocracy and is a normal democratic country,07/15/17,1 Comment,"{Bigjoe}{15 July 2017}{3:43 pm} Actually it’s a lot simpler. Malaysian have to prove, while Najib & Co are trash, they are not.",,,,,,
Extension of Raus as Chief Justice after August 3 not only unconstitutional but deny Richard Malanjum as the the first Chief Judge of Sabah and Sarawak to be appointed as Chief Justice of Malaysia,07/15/17,1 Comment,{Bigjoe}{15 July 2017}{3:01 pm} Did Najib did this just to deny Richard Malanjum the job whose judgement on key issues particularly with religion would have wrecked havoc with the Hadi’s PAS and their partners in UMNO???,,,,,,
Two things for Malaysian voters to prove at the 14th GE – that Malaysians reject kleptocracy and Malaysia is a normal democratic country,07/15/17,1 Comment,"{Bigjoe}{15 July 2017}{3:56 pm} Najib & Co are incompetent, crooks, cheats and bully, i.e. trash. If they win, then the voters are just cheap trash.",,,,,,
"Reply to Salleh – DAP neither sidelined nor do we dominate Pakatan Harapan, which is  coalition of political equals based on the operational principle of consensus, unlike Barisan Nasional  which is founded on UMNO hegemony",07/14/17,1 Comment,"{Bigjoe}{15 July 2017}{4:33 am} After countless slanderring PH with exaggeration of DAP influence, Salleh Keruak now complaining DAP not given enough, it exposes Keruak for the mercenary politician that he is.",,,,,,
Shariah’s Winding Path Into Modernity,07/14/17,2 Comments,"{SuperStringhg}{14 July 2017}{1:34 pm} Millions of Muslim refugees stream to Western countries instead of Muslim countries. If Muslim prefer Shariah laws and everything Islam, logically they should be going to Saudi or Iran and many Muslim countries in the Middle East, Why France, Germany, Finland, UK, etc?","{good coolie}{14 July 2017}{6:04 pm} Jewish law required that adulterers should be stoned. Orthodox Jews (call them extremists) want their ancient law to be enforced in modern times. Luckily for humanity, the larger Israeli society will have nothing of that. The call for Hudud to be implemented among Muslims of our secular society falls to be similarly rejected, as Mr. Mustafa (our writer) seems to imply. ",,,,,
Is there not a single one from the 36 Ministers who realized that establishing an RCI into Bank Negara forex earnings losses a quarter of a century ago without a RCI into 1MDB is the dumbest thing the Cabinet can do?,07/14/17,6 Comments,"{bruno}{14 July 2017}{6:24 am} When a party has been in power for the last six decades,it’s leaders often get ignorant.Especially Umno,now self annointed big brother of BN.Even it’s original almost equal power sharing partners,MCA and MIC have been relegated into apple polishers and custodians of house keeping.That being the case,what do the opposition expect from them?",{bruno}{14 July 2017}{6:29 am} We have Jho Low spending 250 million on a super yacht.Buying jewelry and paintings worth tens of millions and presenting them to celebrities.Smelling STD infected Paris Hilton’s you know where for a million a pop.Only all these can be spent with ill gotten money.No one in his sane mind would throw away their hard earn money like that.,"{bruno}{14 July 2017}{7:01 am} Well,if only Jho Low would have kept his ill gotten wealth under wraps,maybe we would not be talking about 1MDB today.His political masters forget to tell him not to flaunt his ill gotten loot,and gaining unwanted public attention leading a NY newspaper to investigate and write about this chubby super rich playboy.",{Bigjoe}{14 July 2017}{7:41 am} I have full confidence the Cabinet is CAPABLE AND WILL DO much much dumber things.,"{Bigjoe}{14 July 2017}{10:07 am} Another retort that opposition never took on is that Najib claimed that Mahathir will ask his successor to step down to. At 92, there are already significant doubt that Mahathir can even do this one much less another one after Najib. Furthermore, what if we want Mahathir to stop ONLY AFTER NAJIB? In other words, not only is Mahathir not likely to be able to do it another time, truth is we can stop Mahathir anytime we want and we do not want Mahathir to stop just this one time..","{SuperStringhg}{14 July 2017}{1:24 pm} This election depends on the righteous men and women of Malaysia. The whole fury and might of the UMNO/BN has been turned on YOU Now. Najib knows that he will have to break you or lose the election. If you can stand up to him, all Malaysia may be freed and the life of the Malaysians may move forward into a new nation that embraces justice and equality, promote freedom and share prosperity.
But if you fail, then Malaysia, including Sarawak and Sabah States, including all that you have known and cared for, will sink into the abyss of a new dark age made more sinister, and perhaps more protracted, by the lights of Perverted laws. Brace yourselves to your duties, and so bear yourselves, that if Malaysia last for a thousand years, men and women will still say, This was their finest election.",
"Najib should take a leaf from Singapore Prime Minister Lee Hsien Loong, schedule a three-day parliamentary debate on 1MDB on 24-26th July   when Parliament reconvenes and waive parliamentary immunity to give full accounting of a scandal which has made Malaysia into a global kleptocracy",07/13/17,3 Comments,"{SuperStringhg}{13 July 2017}{2:33 pm} Fine, every man is innocent until proven quilty, so please, Jho Low, aka Loch Ness Monster come to  this suffering poor, kleptocratic Malaysia and present your facts and clear your name (also your buddy MO1 too). Please stop talking like UMNO politicians, saying not guilty but cannot prove with facts and hide behind Official Secrets Act, AG Apandi and IGP!","{Godfather}{13 July 2017}{6:27 pm} Bijan is going to appear before Parliament with his two hands aloft with peace signs, screaming “I am not a crook”. And the majority in Parliament will give him a standing ovation. Don’t believe me ?",{Bigjoe}{13 July 2017}{8:09 pm} I have a better idea. Najib and his family for three generation should personally guarantee payment of debt related to MRT and low fares if he think his “Kajang Move” is so much better than PKR’s??,,,,
Why had Khairy been overshadowed not only by “old men” in Pakatan Harapan but also “old men” in UMNO?,07/13/17,1 Comment,{Bigjoe}{13 July 2017}{9:15 am} KJ sold himself has the future and different future of his party and for the Malays BUT NOW HE IS ACTUALLY DEFENDING NAJIB NOT SO SUBTLE INDIRECT ARGUMENT THAT ITS OK FOR HIM TO STEAL SO LONG AS 1MDB MAKES MONEY AND MAHATHIR LOSSES IS JUST AS BAD AS HIS.,,,,,,
Malaysia’s 1MDB Fund Spawns Worldwide Probes: QuickTake Q&A,07/12/17,2 Comments,"{Bigjoe}{13 July 2017}{8:10 am} Step a little back and if you see statements issued by Najib himself, NAJIB IS ARGUING INDIRECTLY THAT HE HAS A RIGHT TO STEAL FROM 1MDB IF 1MDB MAKES MONEY AND THAT MAHATHIR LOST MONEY JUST AS BIG.","{Godfather}{13 July 2017}{9:18 am} All these foreign governments, these foreign publications, are out to overthrow a democratically elected government. No money has been lost on 1MDB. All our investigative agencies say so. We even have money to send people on their haj pilgrimage. Don’t believe me ?",,,,,
"Malaysia’s 1MDB a `Victim’ of Jho Low, Singapore Prosecutors Say",07/12/17,1 Comment,"{Godfather}{13 July 2017}{9:25 am} Still no response from PMO. What is APCO going to write now ? Is MOF still going to pay IPIC US$1 billion at the end of July as part settlement ? Liar liar, pants on fire.",,,,,,
Singapore Banker Admits Money Laundering in 1MDB-Linked Case,07/12/17,2 Comments,{Godfather}{12 July 2017}{5:33 pm} I am waiting for the usual nonsensical responses from UMNO. “A foreign government trying to topple a democratically-elected government.” “No explicit mention of 1MDB.”  “No funds missing from 1MDB so they must be referring to a different company.”,{ezraanne ezra}{12 July 2017}{6:20 pm} When you have been brainwashed to idolise a race and a religion apart from God..nothing will wake the UMNO lapdogs until it’s too late when the bomb is ultimately dropped on their heads..,,,,,
"The RM117 million 22-carat rare pink diamond necklace stolen from 1MDB funds by Jho Low and given to “wife of MO1” would be able to immediately sponsor over 11,000 haj pilgrims from Malaysia",07/12/17,5 Comments,{Godfather}{12 July 2017}{1:38 pm} Have you posed this question to Rahman Dahlan?,"{Godfather}{12 July 2017}{1:51 pm} On second thoughts, you should pose this to Hadi and have him make halal 11,000 Haj trips.",{ezraanne ezra}{12 July 2017}{4:06 pm} The UMNO BN govt manipulates every institution in the country for its dirty political purpose and that includes the Tabung Haji where the poor malays keep their money to go to Mecca.  UMNO BN makes sure these poor malays remain poor so UMNO could continue using and tossing them around.,"{ezraanne ezra}{12 July 2017}{4:36 pm} When poverty rules the malay and muslim of this country that is how UMNO stays in power.  By investing in the young imams, celebrity imams, village chiefs, tahfiz madrasahs, UMNO is making sure more village parrots of UMNO will be born to continue Najib and UMNO’s twisted legacy.","{ezraanne ezra}{12 July 2017}{4:53 pm} There is no necessity to pose questions to Rahman Dahlan or Hadi Awang.  These two are village idiots who will only cause more confusion among the people they are conning.  They can con the people from their villages, they can lie some times; but they cannot con everyone in this country or lie and get away with it all the time.",,
"If there is a secret ballot among the hundred-odd judges in the three tiers of judiciary, the overwhelming majority will uphold the constitution and support the position that it is unconstitutional to extend the tenures of Chief Justice and Court of Appeal President",07/12/17,2 Comments,"{Bigjoe}{12 July 2017}{8:06 am} To UMNO, the Constitution is a piece of toilet paper",{Godfather}{12 July 2017}{1:55 pm} Constitutionality be damned. The alternative is jail for all the crooks.,,,,,
Khairy should ask Najib at Cabinet tomorrow to appoint another Minister to be responsible for TN 50 if Khairy does not have the courage to get  the Najib administration to give proper accountability on international 1MDB money-laundering scandal,07/11/17,2 Comments,{Bigjoe}{11 July 2017}{3:39 pm} KJ is now behaving too closely like Najib. He excused Najib for  BNM Forex losses using Sidek report as a cover when Najib is the biggest cover up leader Malaysia has ever known..Is Najib going to blame Mahathir for his own cover up for 1MDB too? Is KJ suggesting that he and the other Cabinet Ministers are also not guilty of covering up 1MDB?,"{Godfather}{11 July 2017}{5:53 pm} Appoint ANOTHER minister ? Are you on drugs or something ? Everyone in the cabinet is saddled with dedak, and is totally devoid of brainpower.",,,,,
Was  Shafee  involved in  former Chief Justice Arifin’s advice for the unconstitutional  appointment of Raus and Zulkefli as “additional’” judges after the duo’s compulsory retirement to unconstitutionally extend their tenures as the two top judges in the land,07/11/17,4 Comments,{Bigjoe}{11 July 2017}{8:10 am} Again the question really is IS THERE ANY INSTITUTION THAT IS NOT A JOKE UNDER NAJIB’S UMNO?,{Godfather}{11 July 2017}{9:35 am} And there are still people out there who think that such an act proves that Bijan has nothing to hide ?,"{Bigjoe}{11 July 2017}{11:06 am} Whether or not Shafee was involved, the ordinary person is puzzle how is it this term of “additional judges” suddenly makes it excusable not to follow the Constitution?",{Bigjoe}{11 July 2017}{6:38 pm} The big question remains why do this?  Is this Najib preparation post GE 14 for example if he has to step down from UMNO own pressure or to fight if challenge from within his party for bad result?,,,
"Khairy should withdraw and invite Tunku Makhota Johor to head the team to be responsible  for TN 2050 to restore Malaysia’s greatness and vision as a united, harmonious, progressive and prosperous Malaysia which is a model to the world",07/10/17,5 Comments,"{SuperStringhg}{10 July 2017}{12:07 pm} Tunku Ismail is right. The whole fury and might of the UMNO/BN has been turned on the Rakyat Now. Najib knows that he will have to break you or lose the election. If you can stand up to him, all Malaysia may be freed and the life of the Malaysians may move forward into a new nation that embraces justice and equality, promote freedom and share prosperity.
But if you fail, then Malaysia, including Sarawak and Sabah States, including all that you have known and cared for, will sink into the abyss of a new dark age made more sinister, and perhaps more protracted, by the lights of Perverted laws. Brace yourselves to your duties, and so bear yourselves, that if Malaysia last for a thousand years, men and women will still say, This was their finest election.","{Bigjoe}{10 July 2017}{3:20 pm} During the begining of the 1MDB scandal, KJ had kept much more quiet. These days he has opened his mouth much more personally.","{Bigjoe}{10 July 2017}{3:23 pm} The Malays need more than just Reformasi, in fact, they need and ENTIRE REVOLUTION.","{Sallang}{10 July 2017}{4:37 pm} YB Lim, boleh kah TMJ mentitah rakyat Johor supaya memikir masak masak, sebelum membuang undi dlm PRU 14?
That will be tsunami Johor.","{Bigjoe}{11 July 2017}{4:59 am} In the coming GE. The someone must keep repeating UMNO akan curi selama lamanya, Cukai sentiasa Naik, Barang sentiasa Naik and in Sarawak, Sabah, Hudud sentiasa tambah",,
"The RM117 million pink diamond necklace money-laundered from 1MDB funds by Jho Low and gifted to “wife of MO1” is beyond the capability of over 99% of Malaysians, even from their multiple life-time incomes or earnings",07/09/17,4 Comments,"{FreeAsian}{10 July 2017}{6:59 am} Purchasing a diamond costing RM117 million is way beyond the capability of over 99.99% of Malaysians. Someone needs to be earning, or perhaps stealing, one RM billion or more to even consider purchasing a diamond that expensive. Liow and his MCA leaders are just UMNO lapdogs, and it is now very clear to everyone. When the time comes, and believe me, it will come, I propose that such people be prosecuted for conspiracy to hide money laundering; they cannot be guilt-free because it is blatantly obvious that they are part of the conspiracy.","{Sallang}{10 July 2017}{4:55 pm} MCA, as a political party, should be deregistered for the fact that the public were brought to JPN to change their addresses. I was informed that some body opposed my application by JPN. I was told to register again, otherwise I have to vote at my original location.
So be it.Even if  my application were to be approved, I will vote the opponent of MCA, the good for nothing people.","{Bigjoe}{10 July 2017}{6:17 pm} Najib is blaming Mahathir for anything he can lay your hands on, all of which he had a hands to cover up even partake in it’s making like MAS.","{good coolie}{13 July 2017}{11:27 pm} Orang kaya=22-carat diamond necklace (Pink Panther); orang miskin=RM22 karat iron-necklace. Ini kan biasa, Saudara Lim! We should be proud our Great Leader can afford to buy Pink Panther (Indonesia punya Djokowi mana mampu beli Pink Panther). Don’t be jealous of Ah MO1.",,,
DAP is not afraid of holding CEC elections but only UMNO’s perversity and capriciousness to use RoS to sabotage the DAP preparations for the 14GE for a change of  Federal government in Putrajaya,07/09/17,4 Comments,{Bigjoe}{9 July 2017}{4:04 pm} Either they are trying to use the following of ROS instruction to trumpet DAP admission of wrong doing OR they have set it up such that the can disqualify or attack using the new election.,"{ezraanne ezra}{9 July 2017}{5:30 pm} UMNO BN are perverts who will just rape as they please, use back door, and at same time such pussies behaving like whores so long they get what they want how they want.  Their leaders lie, stab people in the back, scare rakyat, pin rakyat, create chaos.  They will do whatever it takes to still grip to power.  They will use every little wicked trick to force DAP out of the picture.  They are so dead afraid of the people’s power in the DAP.  To them rid DAP they rid Pakatan Harapan.","{ezraanne ezra}{9 July 2017}{7:11 pm} Believe me, they will create ‘pengganas’ to ultimately create the exigency situation emergency state and hey presto they will freeze and paralyse the country and all who are against them.  Indefinitely, under the power of PM, even when the two bulls (defence aka special powers minister, DPM aka home minister) are silently heads against horns with each other.","{Bigjoe}{9 July 2017}{8:44 pm} They just announced electricity tariff increase in January – election will be Nov, early Dec before the rain.",,,
"Pathetic, with Shafie as the lone voice against the tide of informed opinion and  putting up  his worst defence ever for the unconstitutional extension of Raus and Zulkefli for the top two judicial posts in the country",07/09/17,1 Comment,{Bigjoe}{9 July 2017}{4:45 am} Why is UMNO lawyer have such privilleges information on appt of CJ that now raises urgency of criminality of 9m payment from 1MDB money?,,,,,,
Miranda Kerr holidayed on Malaysian billionaire’s yacht after split from Orlando Bloom,07/08/17,4 Comments,"{bruno}{8 July 2017}{8:55 pm} Only a chubby stupid fool would flaunt his ill gotten wealth so publicly.If only this stupid fool could remain silent as a church mouse,this mother of all financial scandals might be outed five years or more later or even never.","{good coolie}{9 July 2017}{12:56 am} This Wan Emdibi is kind-hearted indeed. Banyak dia belanja! Seize all the ill-gotten assets, U.S.A/Russia, “if you are listening.” Return them to us, s’il vous plait. We can sell all the carats to the tin-karat chap and get something out of it for the poor people, including some of our students who are surviving on tea and buns (“believe me!”).","{undertaker888}{9 July 2017}{5:59 pm} Fatman of Manchester is pretty much silent on this while harping on LGE”s bungalow. MO1?s stepson owns multi-million dollar property in US, the Fatman is also pretty much quiet. All these ill gotten wealth is mountainful compared to LGE”s mole hill.","{good coolie}{13 July 2017}{11:47 pm} It seems 1 MDB has secretly done a lot of good for Malaysians like throwing a few coins, a few pieces of meat and some bread, to us beggared Malaysians. In return we allow them to  squander RM50 billion in needless losses, and allow undeserving people to get gifts of yachts, artworks, 22-carat diamond necklaces, etc. at our expense. Are we Stupid? Maybe.",,,
Late-night announcement of appointment of Raus Sharif as “additional judge” and extension of tenure  as chief justice for another three years unprecedented and unconstitutional – plunging Malaysia into new constitutional crisis,07/08/17,2 Comments,"{Bigjoe}{8 July 2017}{10:00 am} The issue is WHY EVEN DO THIS? Why push for such an act at a time Najib and UMNO/BN plate is full of messes? As many pointed out, plenty of people able to take over EVEN MANY who are willing to pliable to Najib and UMNO/BN?  ","{good coolie}{8 July 2017}{2:10 pm} Hadi doesn’t care. The more the Federal Constitution is undermined the better. When, at last, people start disrespecting the Federal Constitution, the stage is set for alternative systems of law. He will point to the rampant corruption of our leaders as proof that the Federal Constitution is a “man-made law” incapable of serving the country. Meanwhile, he will support wrong-doers as much as he can.",,,,,
RoS decision for  fresh DAP CEC election  as DAP CEC election in 2012 and re-election in 2013 not lawful and valid  most ridiculous,07/07/17,3 Comments,"{undertaker888}{8 July 2017}{1:37 am} When the Fatman swallowed too much cash, expect him to vomit out lies, fake news and everything in between.",{Bigjoe}{8 July 2017}{3:55 am} It’s clear Najib is now taking the reigns personally on attacks against the opposition. This came because Najib sent message it is be done. ,{Bigjoe}{8 July 2017}{8:28 pm} The ROS  issued a public statement to instruct DAP instead of a letter to the party?? Zahid Hamidi is right the ROS is unprofessional. Guess now we need RCI on the ROS? ,,,,
"Hishammuddin cannot be more wrong – the issue is not whether he has “nothing to hide” but why as Defence Minister, he could not answer questions about whether military intelligence chief  had  received RM7 million  from Najib a month before the last GE?",07/07/17,1 Comment,{Bigjoe}{8 July 2017}{6:25 am} Najib abuses power and corrupt the powerful like Rosmah buys jewelry and luxuries. ,,,,,,
"Will Hadi support the return to the people of Malaysia the  billions of ringgit worth of jewelleries, art pieces and luxury properties misappropriated by Jho Low from 1MDB and gifted to  Leonardo DiCaprio, Miranda Kerr, “wife of MO1” and others?",07/07/17,1 Comment,{Bigjoe}{8 July 2017}{9:22 pm} Let’s stop pandering to Hadi by not talking about the elephants in the room.,,,,,,
I will quit DAP if it is a Christian party,07/07/17,1 Comment,"{good coolie}{8 July 2017}{2:45 pm} “Separation of Church and State” is indeed a desirable principle. It encourages freedom of religion. In Malaysia, the Federal Constitution, being a secular constitution, does not stand in the way of a plurality of religions being practised.",,,,,,
Father of modern Malaysia backs jailed former deputy in attempt to oust PM,07/06/17,3 Comments,"{Bigjoe}{6 July 2017}{9:57 pm} What Najib fear most about Mahathir is his decisiveness, single mindedness once he makes up his mind. It’s where Najib fails badly compared to Mahathir. Mahathir simply does not let issue distract him, do anything necessary to get to his goal.",{good coolie}{7 July 2017}{12:14 am} He puts a noose into the nose of the beloved Malaysian buffalo and leads it wherever he wills it to go.  I would’nt touch Mahatir with a ten-foot pole. “What to do”? It is a sad state that we have to rely on the thief to guard the fence. Najib is indeed worse!,{ezraanne ezra}{7 July 2017}{1:39 am} Well he’s a physician a medical doctor.  Physicians are known for their precisiveness.  They are trained to be decisive.  They have to be.,,,,
Does Prime Minister Najib know that he is the”MO1” referred to in the US DOJ lawsuits to forfeit US$1.7 billion 1MDB-linked assets money-laundered through American banks?,07/06/17,2 Comments,"{Bigjoe}{7 July 2017}{4:30 am} A more interesting question is does Najib knows how bad it looks that HE alone is making ultimate decision Tourism tax. It makes it look like what the big suspicion is about – raising taxes because his admin is running out of money, because he wasted too much specifically with 1MDB.","{good coolie}{8 July 2017}{3:02 pm} Saya MO1, engkau PO1. Okay, mari kompromi. Saya tak pakai 2.5 billion ringgit (kalau terima pun dah kasih baliklah kepada Sheik). Engkau tak beli bangalo dari “Jual-Murah” (depan Police Barracks, Pulau Pinang). Lagipun, saya tak tahu langsung mengenai berlian Pink Panther. Ada lain.",,,,,
Congrats to Najib in getting Hadi to be his chief defender on 1MDB scandal  as the PAS President himself  is worth more than the phalanx of overly-paid local and foreign and media consultants and propagandists,07/06/17,1 Comment,"{Bigjoe}{6 July 2017}{9:37 am} Its a very good point, Hadi Awang, if he is not corrupt as he says, LOOKS SAD AND PATHETIC, doing it for nothing including not furthering his own suppose cause, while Najib is paying these fools a boatload of money and laughing at him all the way to the bank..",,,,,,
